id;date;cotery_name;student_full_name;attendance_status
1;2023-12-24;uh-huh window letter;plate nonstop;ABSENT_AUTHORIZED
2;2023-12-25;freezer kiddingly;zowie;ABSENT
3;2023-12-25;powerfully inasmuch;wise unwilling harsh;ABSENT
4;2023-12-24;overcompensate vase spherical;whoa hygienic qua;PROF_ABSENT
5;2023-12-25;furthermore;weeder with via;PRESENT
6;2023-12-24;scarily marketer;even after but;PROF_ABSENT
7;2023-12-24;deflect scotch where;colorfully;PRESENT
8;2023-12-24;supposing tweak;boo until;PRESENT
9;2023-12-24;boohoo whoa;blend woot;ABSENT_AUTHORIZED
10;2023-12-25;doodle;gracefully ah;ABSENT
