id;date;cotery_name;student_full_name;attendance_status
1;2023-12-25;oh;harmonious blah tensely;ABSENT
2;2023-12-24;torment archeology;given inasmuch although;PROF_ABSENT
3;2023-12-25;along hunt;painting thrive sans;PRESENT
4;2023-12-25;um uh-huh helpfully;provided during yahoo;ABSENT_AUTHORIZED
5;2023-12-25;generally briefly leave;supposing;PRESENT
6;2023-12-25;caramelise except;upwardly;ABSENT
7;2023-12-24;pop;the loyally wrongly;PRESENT
8;2023-12-25;thoroughly past till;lest;PRESENT
9;2023-12-25;in supposing abstract;whether hm atmosphere;ABSENT
10;2023-12-24;lightly;gadzooks dismount spry;PRESENT
