id;comite;student_name;exam_name;exam_category;exam_type;tajweed_score;hifd_score;adae_score;observation;decision
1;jovially politely pace;reduction fabric;repulsive huzzah anti;NARRATION_BY_IBN_DHAKWAN_ON_THE_AUTHORITY_OF_IBN_AAMER_VIA_AL_SHATIBIYYAH;NEW_HIFD;29312;2108;32084;../fake-data/blob/hipster.txt;3772
2;whenever reproach;swagger;usefully between reschedule;QUNBULS_NARRATION_ON_THE_AUTHORITY_OF_IBN_KATHIR_VIA_AL_SHATIBIYYAH;NEW_HIFD;20291;7723;8739;../fake-data/blob/hipster.txt;3342
3;ick;helpfully qua raccoon;clasp portly calmly;QUNBULS_NARRATION_ON_THE_AUTHORITY_OF_IBN_KATHIR_VIA_AL_SHATIBIYYAH;NEW_HIFD;23065;18856;14230;../fake-data/blob/hipster.txt;3461
4;wrongly;warped wee aha;unless respite onto;AL_BAZZIS_NARRATION_ON_THE_AUTHORITY_OF_IBN_KATHIR_VIA_AL_SHATIBIYYAH;NEW_HIFD;5539;28004;2150;../fake-data/blob/hipster.txt;24347
5;really;likewise pfft outmanoeuvre;ouch rosy;KHALAFS_NARRATION_ON_THE_AUTHORITY_OF_HAMZA_VIA_AL_SHATIBIYYAH;OLD_HIFD;12693;1044;25547;../fake-data/blob/hipster.txt;27747
6;eminent mummify;diffract costly cluttered;wherever negligible;NARRATION_OF_HAFS_ON_THE_AUTHORITY_OF_ASIM_THROUGH_TAYBEH;NEW_HIFD;12809;18274;13867;../fake-data/blob/hipster.txt;2599
7;new like;nice;aquaplane beneath;NARRATION_BY_IBN_DHAKWAN_ON_THE_AUTHORITY_OF_IBN_AAMER_VIA_AL_SHATIBIYYAH;OLD_HIFD;21061;30537;13105;../fake-data/blob/hipster.txt;20882
8;oh;vast same;the;NARRATION_OF_HAFS_ON_THE_AUTHORITY_OF_AL_KASAI_VIA_AL_SHATIBIYYAH;NEW_HIFD;12934;25730;9267;../fake-data/blob/hipster.txt;24419
9;curiously inside;notwithstanding as who;jaggedly ouch;NARRATION_BY_IBN_DHAKWAN_ON_THE_AUTHORITY_OF_IBN_AAMER_VIA_AL_SHATIBIYYAH;OLD_HIFD;5608;30220;13893;../fake-data/blob/hipster.txt;13733
10;glove gab;hence phew;because;WARSHS_NARRATION_ON_THE_AUTHORITY_OF_NAFI_VIA_AL_SHATIBIYYAH;NEW_HIFD;25846;15771;2410;../fake-data/blob/hipster.txt;5200
