id;first_name;last_name;email;account_name;role;status;password;phone_number_1;phone_numver_2;sex;country_internal_id;nationality_id;birth_day;photo;photo_content_type;address;facebook;telegram_user_custom_id;telegram_user_custom_name;biography;bank_account_details;certificate;certificate_content_type;job_internal_id;creation_date;modification_date;deletion_date
1;Blanche;Kertzmann-O'Kon;Sylvia26@hotmail.com;Money Market Account;STUDENT;ACTIVATED;butterfly;since;besides discuss aboard;MALE;23417;19240;2023-12-25;../fake-data/blob/hipster.png;image/png;radiant nerve parameter;that panic;blond woot vitiate;snug sweatshirt anti;saddle healthily;instead lighten chip;../fake-data/blob/hipster.png;image/png;1436;2023-12-24T18:04:20;2023-12-24T15:42:21;2023-12-24T19:28:02
2;Lorenza;Rau-Nader;Vada.Davis84@yahoo.com;Personal Loan Account;SUPER_MANAGER;DEACTIVATED;supposing;whereas diadem proprietor;properly;FEMALE;27244;29098;2023-12-24;../fake-data/blob/hipster.png;image/png;along greatly sore;glimpse;curiously off;eminent vow;geez;traffic;../fake-data/blob/hipster.png;image/png;28199;2023-12-25T04:34:49;2023-12-24T11:51:40;2023-12-24T16:26:36
3;Zander;DuBuque;Hortense.Conroy76@yahoo.com;Money Market Account;STUDENT;BLOCKED;vaguely;for geez;strawberry finally;FEMALE;5298;1017;2023-12-24;../fake-data/blob/hipster.png;image/png;down ack who;but;menacing grasp lazily;gadzooks decision;voluminous;from;../fake-data/blob/hipster.png;image/png;13589;2023-12-25T00:36:06;2023-12-25T02:28:46;2023-12-25T03:50:07
4;Rocky;Steuber-Wolff;Armando64@gmail.com;Auto Loan Account;MANAGEMENT;DELETED;deceivingly;invitation shallow because;couple;FEMALE;27181;2204;2023-12-24;../fake-data/blob/hipster.png;image/png;bronze down delightfully;oh;absent calcify;drive;whereas yippee;thorny fancy drat;../fake-data/blob/hipster.png;image/png;14801;2023-12-24T12:07:43;2023-12-24T22:33:49;2023-12-24T22:38:45
5;Ariane;Ratke;Conner_Emard19@hotmail.com;Money Market Account;SUPERVISOR;DELETED;blank between than;inasmuch;even incidentally;MALE;17287;21989;2023-12-25;../fake-data/blob/hipster.png;image/png;any concerning if;accidentally;but where;drug;wetly;towards complex ick;../fake-data/blob/hipster.png;image/png;6004;2023-12-25T07:50:07;2023-12-25T06:19:05;2023-12-24T18:54:10
6;Abdiel;Cole;Electa.Murazik-Spencer67@yahoo.com;Checking Account;SUPERVISOR;BLOCKED;consequently;oof inasmuch aged;sick however given;MALE;8469;24442;2023-12-24;../fake-data/blob/hipster.png;image/png;aside virtuous kitsch;ah;competent characterize till;stake;because;considering like;../fake-data/blob/hipster.png;image/png;27615;2023-12-24T14:07:42;2023-12-25T08:48:26;2023-12-24T14:38:17
7;Demetrius;Schmidt;Justus96@hotmail.com;Investment Account;MANAGER;BLOCKED;anaesthetise entangle;unpack deadly yet;past duh;MALE;2981;8220;2023-12-25;../fake-data/blob/hipster.png;image/png;drat limply;incidentally;geez boggle inasmuch;cautiously scaffold sap;interpenetrate;overthrow qua stall;../fake-data/blob/hipster.png;image/png;28277;2023-12-24T22:22:08;2023-12-24T20:32:36;2023-12-25T04:41:15
8;Ewell;Swift;Otilia47@yahoo.com;Credit Card Account;MANAGEMENT;ACTIVATED;patriot abide off;pish except;blushing on through;FEMALE;5811;4136;2023-12-24;../fake-data/blob/hipster.png;image/png;convert ouch blah;lest outplay likewise;maul hall;stake;yawning youngster;even;../fake-data/blob/hipster.png;image/png;469;2023-12-25T05:45:11;2023-12-25T06:10:29;2023-12-24T19:28:05
9;Lorenzo;Becker;Jamarcus99@hotmail.com;Checking Account;INSTRUCTOR;DELETED;coaxingly;afore bankroll;yippee boohoo consequently;MALE;14255;841;2023-12-25;../fake-data/blob/hipster.png;image/png;delimit;gelding dragster unbearably;compromise;lively;ugly clueless;locomotive demobilise;../fake-data/blob/hipster.png;image/png;10409;2023-12-24T15:24:13;2023-12-25T02:01:42;2023-12-25T04:28:11
10;Gabriel;Swaniawski;Delta_Langosh15@yahoo.com;Investment Account;SUPERVISOR;DELETED;icecream;pro;aw;FEMALE;27757;9843;2023-12-25;../fake-data/blob/hipster.png;image/png;money above supposing;training;violently yowza yuck;about beneath;let untrue;furiously litter poignance;../fake-data/blob/hipster.png;image/png;56;2023-12-24T22:57:27;2023-12-25T07:38:57;2023-12-25T01:07:14
